ID,Timestamp,Date,Customer Name,PM Name,Attendees,Notes Preview,Next Actions Count,Has Thread
"1764149465.423279","1764149465.423279","* 2025-11-25","Verizon*","Vijay Srivastva","WE163TH43;W4R5LUPK3;W9QMZFR39;W5HEU5M7Y;W010NNJV7S8","* *Meeting Summary – Verizon Discussion on Document Generation and AEM Capabilities*  *Current Vendor Landscape and Business Need* • *Verizon* is currently operating as an on-premise site customer. • ","6","true"
"1764136037.917299","1764136037.917299","* 2025-11-25","Brunswick*","Mayank Agarwal","U06NF880220;U0213T59LMN","* • *Project Status and Migration Challenges:* Andy provided an update on the project's current state, highlighting issues encountered during the migration from QA to stage, particularly with form nam","7","false"
"1764135866.061899","1764135866.061899","* 2025-11-25","LPL*","Gaurav Ahuja","U0213T59LMN;W4RU5J3JR;W4RU708G5","* • *AFV2 Guidebridge Enhancement:* Engineering deployed a private build enhancing guidebridge that enables the use-case of multiple forms on a single page; Customer to validate functionality. • *Vali","2","true"
"1764090684.923759","1764090684.923759","* 2025-11-25","Fidelity Stock Plan Services*","Mahendra Bijarniya","WAKE92QE4;W9QMZFR39","* Fidelity Stock Plan Services run a single AEM Publish instance with the AEM Forms add-on on Windows Server that also hosts Microsoft Office and Acrobat required to support of PDF generation. *Requir","2","true"
"1764046139.663049","1764046139.663049","* 2025-11-24","James Terry - smartdoctech*","Darshan Mahor","W9QMZFR39;W4R4VBWQG","* • James provided overview that he has implemented AEM Forms Core Components on his site and published a 5‑minute overview video of AEM Forms capabilities. <https://www.youtube.com/watch?v=gRuqGc-5cm","2","true"
"1763529691.340699","1763529691.340699","* 2025-11-18","LPL*","Gaurav Ahuja","W4RU5J3JR;W4RU4N66R;W4RU708G5","* • *Multiple Form Loading:* Customer facing issues loading multiple forms in the same division due to missing unload function in AF2, causing event listener conflicts. • *Event Handling:* Engineering","6","false"
"1763529026.443209","1763529026.443209","* 2025-11-19","Carpenter*","Sakshi Arora","W4SG81T9C;U06NF880220;U05TSNKRNP8","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Azure SQL Database Connectivity Troubleshooting:* Randy, Sakshi, Chad, Tim, and Speaker 1 collaborated to diagnose intermittent co","6","false"
"1763008572.322029","1763008572.322029","* 2025-11-10","UPS*","Shraddha Singh","U0213T59LMN;U06NF880220;U07NSQ497C4","* • Meeting was scheduled by Michael for discussing all the open queries of UPS. In that one story they were interested was Certificate based authentication of Onedrive. • Current implemented changes ","1","false"
"1762939436.325349","1762939436.325349","* 2025-11-10","Brunswick*","Shraddha Singh","U06NF880220;U0213T59LMN","* *Meeting notes*  *AEM Forms Local Development Environment Setup:* Christy, Mayank, Andy, and Shraddha discussed and collaboratively worked through the step-by-step process for setting up AEM Forms o","0","false"
"1762925843.256829","1762925843.256829","* 2025-11-11","LPL Financials*","Mayank Agarwal","W4RU5J3JR;W4RU708G5;U0213T59LMN","* • *Form Validation and Prefix Path Issue:* Andy Doerr, Arneh, and Gaurav discussed ongoing issues with form validation failures and incorrect prefix paths in the application, with Gaurav guiding And","4","false"
"1762925718.072349","1762925718.072349","* 2025-11-11","Brunswick*","Mayank Agarwal","U0213T59LMN;U06NF880220","* • *Feature Toggle and Bundle Configuration for Local Development:* Christy, Mayank, and Shraddha discussed the process for enabling feature toggles in local development, confirming that uploading th","7","false"
"1762862276.317519","1762862276.317519","* 2025-11-10","Abbott*","Mahendra Bijarniya","W4R5WN6LR;W4WF2PALU;W5LLV6D18","* Abbott is encountering multiple conversion issues, as detailed in <https://wiki.corp.adobe.com/display/lc/PDF+Generator+Support+for+Office+2021+and+Acrobat+DC|this wiki page> , during their environm","2","true"
"1762793715.280409","1762793715.280409","* 2025-11-10","Ford*","Mahendra Bijarniya","W9QMZFR39;W5HEU5M7Y;W4R5LUPK3;W010NNJV7S8;U038XFD63GS","* Ford is planning to migrate their Interactive Communications (IC) from AEM Forms 6.5 to AEM Forms on CS. • Current Deployment and Environment Details:     ◦ Approximately 700 existing ICs.     ◦ Bat","2","true"
"1762512398.594299","1762512398.594299","* 2025-11-06","LPL Financial*","Chris J","W010NNJV7S8","* *Dynamic Client Letter Generation Use Case:* Naveen Sharma described the need to generate dynamic client letters reflecting account changes, and discussed with Chris how Adobe tools could support a ","0","true"
"1762496766.537899","1762496766.537899","* 2025-11-06","Brunswick*","Mayank Agarwal","U0213T59LMN","* • *Transition from Marketo to AEM Forms: Analytics Tracking:* Andy, Mayank, Heidi, Mark, and Jonathan discussed the transition from Marketo to AEM forms, focusing on ensuring analytics tracking (inc","7","false"
"1762407925.414709","1762407925.414709","* 2025-11-04","Mayo Clinic*","Sakshi Arora","W4SG81T9C;W5HEU5M7Y;W4RU4N66R","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Current Forms Environment and Integration Challenges:* Tony J Fenner, Stephen, Brad R Tuckner, and John described the current form","0","false"
"1762311254.939099","1762311254.939099","* 2025-11-04","Brusnwick*","Shraddha Singh","U06NF880220","* *ECID Deployment and Rule Editor Updates:* Shraddha, Christy, and Andy discussed the deployment status of the ECID code, with Christy confirming the ECID deployment is pending and planning to notify","0","false"
"1762237903.056619","1762237903.056619","* 2025-11-03","Carpenter*","Sakshi Arora","W4SG81T9C;U06NF880220;U05TSNKRNP8","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Azure SQL Database Integration and Networking Configuration:* Shraddha, Sakshi, Randy, and Chad Roberts discussed the technical re","0","true"
"1762139888.047429","1762139888.047429","* 2025-10-30","Brunswick*","Shraddha Singh","U06NF880220","* *ECID Function Deployment and Rule Modification:* Shraddha updated Andy and Joseph on the deployment of the new ECID async function, which will require a subsequent rule modification once Christy de","0","false"
"1762139700.650049","1762139700.650049","* 2025-10-28","Brunswick*","Shraddha Singh","U0213T59LMN;U06NF880220","* *Cloudflare Form Submission Routing and Security:* Andy Kluck, Christy, and Sarah Warzecha discussed the recent Cloudflare configuration that now globally routes form submissions correctly and block","0","false"
"1761800607.873069","1761800607.873069","* 2025-10-15","NFL*","Ravisanker E","W012PACNGHJ;W4RU4N66R;W5HEU5M7Y;U0213T59LMN","* This session was targeted at the marketing team at NFL.  • Introduced the AEM forms product offering and its various capabilities.  • Followed by a demo of authoring an already live NFL form in the ","0","false"
"1761722933.589879","1761722933.589879","* 2025-10-28","LPL*","Gaurav Ahuja","W4RU5J3JR;W4RU708G5;U0213T59LMN","* • *URL Rewriting Issue:* Customer reported embedded form failures caused by model.json paths not being rewritten properly through Cloudflare and AEM filters. • *Cloudflare Routing Rules:* Andy descr","4","false"
"1761627924.197009","1761627924.197009","* 2025-10-27","Carpenter*","Sakshi Arora","W4SG81T9C;W4XTCQ07J;U05TSNKRNP8","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Repository Structure and Code Walkthrough:* Sakshi provided an overview of the restructured repository for cloud deployment, expla","7","true"
"1761622645.845869","1761622645.845869","* 2025-10-17","Fedex-Freight*","Deep Dewanji","U02P8T2L0R5;W4RU4N66R","* Customer is creating a new business division , Fedex-Freight. They have accenture as their partner who are implementing the forms for them. They are looking into creating multiple forms. They have f","0","false"
"1761548178.630329","1761548178.630329","* 2025-10-24","Micron*","Navneet Agarwal","W4R4S9FS4;W4RU708G5;U0213T59LMN;W4RU4N66R;U03N27GAZDZ","* • *Current Forms Usage and Integration Plans:* Manju, Pavan Kumar Ainampudi, and Ashajyoti from the Micron team, along with Mayank, Vijay Kumar, and Anurag from the AM Forms team, discussed the curr","5","false"
"1761302429.679959","1761302429.679959","* 2025-10-23","Brunswick*","Mayank Agarwal","U06NF880220;W4SG81T9C;U0213T59LMN","* • *Testing and Validation of Custom Functions for ECID, FCLID, GCLID:* Andy, Mayank, Christy, and the team discussed ongoing testing of custom functions for ECID, FCLID, and GCLID, including the nee","8","false"
"1760938155.973389","1760938155.973389","* 2025-10-17","Maruti*","Sudhanshu Singh","W4R4S9FS4;W4XTCQ07J;WAM5KDYBZ","* Anurag, Sudhanshu and Khushwant visited the Maruti factory on Friday. We went to the Innovation Gym first where the Adobe team sites (~ 6-8 team members sit in that office). Some quick notes/pointer","3","true"
"1760934412.685319","1760934412.685319","* 2025-10-17","Carpenter*","Sudhanshu Singh","W4SG81T9C;W4XTCQ07J;U05TSNKRNP8;U0213T59LMN","* Meeting notes: • *Current Form Workflow and Demonstration:* Randy provided a detailed walkthrough of the current expenditure request form, explaining its workflow, user interactions, and technical l","6","true"
"1760934379.857719","1760934379.857719","* 2025-10-17","Carpenter*","Sakshi Arora","W4SG81T9C;W4XTCQ07J;U0213T59LMN;U05TSNKRNP8","* *Meeting notes*  *Current Form Workflow and Demonstration:* Randy provided a detailed walkthrough of the current expenditure request form, explaining its workflow, user interactions, and technical l","0","false"
"1760711241.211559","1760711241.211559","* 2025-10-17","Ford*","Sufyan Haroon","W9QMZFR39","* • Ford is eager to move to cloud service. They have a mandate to move to Cloud by 2027.  • They are eager to go for co-innovation and VIP to help them to move to cloud.  • <@W5HEU5M7Y>, they are exp","2","true"
"1760688547.214749","1760688547.214749","* 2025-10-16","LPL*","Gaurav Ahuja","W4RU708G5;W4RU5J3JR;U0213T59LMN;W4R5Y3YHX","* • *Batch Importer Demo:* <@W4R5Y3YHX> demonstrated the batch importer service for converting multiple PDFs to adaptive forms asynchronously with error tracking and output management. • *Feedback on ","5","false"
"1760593625.819359","1760593625.819359","* 2025-10-15","Carpenter*","Sudhanshu Singh","W4XTCQ07J;W4SG81T9C;WQ6GEBZHN;U0213T59LMN;W5HEU5M7Y","* *High level summary:* • Account is escalated - they have not been able to create the first form and want to go-live with the first form soon. They shared a list of issues in advance - and the same w","7","true"
"1760547174.065489","1760547174.065489","* 2025-10-14","Brunswick*","Mayank Agarwal","U06NF880220;W4SG81T9C;U0213T59LMN","* • *Dispatcher Pipeline Deployment Issues:* Mayank, Jonathan, and Andy discussed the deployment of dispatcher changes, with Jonathan explaining that although the latest updates were pushed, a pipelin","4","true"
"1760546957.315829","1760546957.315829","* 2025-10-14","LPL Financials*","Mayank Agarwal","U0213T59LMN;W4RU5J3JR;W4RU708G5","* • *Form Conversion Process and Binding Issues:* Arneh, Gaurav, Andy, and Mayank discussed the ongoing challenges and solutions related to converting forms, particularly focusing on binding issues, t","3","false"
"1760546749.825929","1760546749.825929","* 2025-10-14","Brightline*","Mayank Agarwal","U05TSNKRNP8;U0213T59LMN","* • *Producer Usability Challenges with Adobe Forms:* Katie Manarte, supported by Rebecca and Vince, raised concerns to Mayank and Harman about the complexity of configuring Adobe Forms for producers,","3","true"
"1760094837.281229","1760094837.281229","* 2025-10-09","LPL*","Gaurav Ahuja","U0213T59LMN;W4RU708G5;W4RU5J3JR","* • *Login Token Issue:* Customer investigating source of login token in metadata calls and will raise it in the upcoming support call with Adobe. • *Unbound Fields &amp; Batch Conversion:* Engineerin","5","false"
"1760073869.744429","1760073869.744429","* 2025-10-09","Brunswick*","Mayank Agarwal","U0213T59LMN;U06NF880220;W4SG81T9C","* • *AEM Form Publishing and Loading Issues:* Andy Kluck, Mayank, Sakshi, and others discussed persistent issues with AEM forms not loading on the published QA website, despite working in the editor a","6","false"
"1759980070.548739","1759980070.548739","* 2025-10-08","AstraZeneca*","Rahul Kumar Singh","WLWHN4TV3","* • Discussed form opportunities that were presented to them in our last meeting. • Devendran from AstraZeneca side mentioned that they had discussed these with their internal team. • He also stated t","0","true"
"1759918705.952969","1759918705.952969","* 2025-10-07","Brunswick*","Mayank Agarwal","U06NF880220;U0213T59LMN","* • *Form Integration Issues on Regional Pages:* Andy, Mayank, Speaker 1, and Christy discussed ongoing problems with embedding and displaying forms on the Australia and New Zealand regional pages, in","5","false"
"1759918620.082929","1759918620.082929","* 2025-10-07","Brightline*","Mayank Agarwal","U0213T59LMN;W5HEU5M7Y","* • *Adaptive Form Configuration and Bind Reference:* Katie Manarte raised questions about configuring adaptive forms, specifically regarding the use of bind references and schema integration, which M","3","false"
"1759905157.566889","1759905157.566889","* 2025-10-07","LPL*","Gaurav Ahuja","W4RU5J3JR;W4RU708G5;U0213T59LMN","* • *401/501 Errors:* Customer escalated the ticket and coordinating internally; Arneh investigated and raised API and middleware behavior causing cookies and login token conflicts.  • *Unbound Fields","5","false"
"1759743994.384419","1759743994.384419","* 2025-10-06","Continental Tires*","Rahul Kumar Singh","WLWHN4TV3","* • Presented *Forms opportunities* for the domain `<http://conti.com.br|conti.com.br>`. • Suggested *experimentation* with variations for *two of their forms*. • They are *currently accessing* the su","0","true"
"1759720674.127879","1759720674.127879","* 2025-10-03","KrisShop*","Rahul Kumar Singh","WLWHN4TV3","* • All ASO opportunities attended the meeting. • From forms side presented the experimental forms opportunity found for their newsletter subscription form. :todo_done: *","0","true"
"1759720571.470079","1759720571.470079","* 2025-10-01","AstraZeneca*","Rahul Kumar Singh","WLWHN4TV3","* • All ASO opportunities attended the meeting. • Presented the Forms opportunity for one of their forms. • The attendees showed interest based on their reactions. • They requested to run this audit o","1","true"
"1759302631.277869","1759302631.277869","* 2025-09-30","Brunswick*","Mayank Agarwal","U06NF880220;WQ6GEBZHN;W4XTCQ07J;U0213T59LMN","* • *AEM Form Integration and Hidden Fields Issue:* Andy Kluck, Mayank, Devendra, and Sudhanshu discussed the problem of hidden fields and conditional rules not transferring from the adaptive form to ","5","false"
"1759302140.947489","1759302140.947489","* 2025-09-30","LPL*","Gaurav Ahuja","W4RU5J3JR;W4RU708G5;U0213T59LMN","* • *Unbound Fields Report:* Customer discussed the need to identify fields that fail to bind during form conversion. Generating a consolidated report of these unbound fields will help the team perfor","7","false"
"1759295224.273769","1759295224.273769","* 2025-09-30","UPS*","Navneet Agarwal","W4R4S9FS4;W4RU4N66R;U03N27GAZDZ","* • *Overview of Forms Co-Innovation Program:* Anurag provided a comprehensive overview of the Forms Co-Innovation (VIP) program, explaining its purpose, selection criteria, phases, and the benefits f","3","true"
"1759242567.213609","1759242567.213609","* 2025-09-30","Brightline*","Mayank Agarwal","U0213T59LMN","* • *Challenges in Form Creation and AEP Integration:* Katie Manarte raised concerns about the complexity of creating forms and integrating them with Adobe Experience Platform (AEP), highlighting the ","3","false"
"1759241322.890699","1759241322.890699","* 2025-09-24","Altec (AFTIA)*","Mayank Agarwal","W4RU5J3JR;U0213T59LMN","* • AFTIA presented the current state of the use case implementation and the partner has shared the demo and the presentation of how and what kind of engagements they did with Adobe . • Adobe (AMS) te","1","false"
"1759221198.042019","1759221198.042019","* 2025-09-08","Partner - Ajila*","Vijay Kumar Jalagari","W4R4S9FS4;W4RU4N66R","* • *Demonstration of Form Creation and Import Capabilities:* Anurag demonstrated to Daniel Stöckli and Michael Peter the current capabilities for creating adaptive forms from scratch, importing forms","6","true"
"1759215618.215119","1759215618.215119","* 2025-09-29","NFCU*","Prateek Awasthi","U03Q109GQMT","* • We showed how to create a servlet that integrates the OSGi service for rendering PDFs in a local setup. We had previously shared a private FAR for this via an Adobe CRM ticket, and Ashish from NFC","1","true"
"1759137943.174139","1759137943.174139","* 2024-08-05","Maruti*","Vijay Kumar Jalagari","W4RU4N66R","* Sharing old notes of Maruti use cases • Some of forms are repeating in both <http://marutisuzuki.com|marutisuzuki.com> and <http://nexaexperience.com|nexaexperience.com> • Features     ◦ *Journeys (","0","true"
"1759122294.631499","1759122294.631499","* 2025-09-24","RCCL (Royal Caribbean Cruise Line)*","Harshit Gupta","W010NNJV7S8;U07P56Q79TK","* • *Agent UI Demonstration and Capabilities:* Harshit provided an in-depth demonstration of the Agent UI, highlighting features for editing, validating, and managing content fragments, PDF output and","2","true"
"1758801181.582319","1758801181.582319","* 2025-09-11","Partner - Huge (Hero Digitial) Customer - Inova*","Vijay Kumar Jalagari","W4RU4N66R","* Details ● I*nova Account Migration to Adobe* Eric Van Geem provided an overview of the Inova account, noting that they are an AEM Forms customer with approximately 180 forms on their current <http:/","3","false"
"1758772873.101649","1758772873.101649","* 2025-09-22","Centene*","Vijay Kumar Jalagari","W5HEU5M7Y;W4RU4N66R;W010NNJV7S8","* _AI-generated notes_  *Key Topics:* • *Introduction:* Matthew, Arun, Vijay Kumar, and Chris from Adobe met with Laura, Dipesh Shrestha, and James from Centene to discuss the VIP project for implemen","3","true"
"1758706353.738309","1758706353.738309","* 2025-09-23","Brunswich*","Mayank Agarwal","U0213T59LMN;U06NF880220;W5HEU5M7Y","* • *Implementation of Custom Functions for Tracking IDs:* Andy, Mayank, Speaker 1, and the team discussed the implementation of custom functions to capture Facebook click ID, Google click ID, and Ado","5","false"
"1758706160.526549","1758706160.526549","* 2025-09-23","Brightline*","Mayank Agarwal","U05TSNKRNP8;U0213T59LMN","* • *AEM Forms Integration with Adobe Experience Platform (AEP):* Harman, Mayank, and Katie Manarte discussed the end-to-end process of integrating AEM forms with Adobe Experience Platform, including ","3","false"
"1758691681.214369","1758691681.214369","* 2025-09-23","LPL*","Gaurav Ahuja","U0213T59LMN;W4RU708G5;W4RU5J3JR;W4R4S9FS4","* • *Forms Search Inconsistency*: Customer reported inconsistent search results in Forms Experience Builder. Engineering confirmed issue occurs across both main interface and properties dialog. Workar","4","true"
"1758690059.009889","1758690059.009889","* 2025-09-23","Westjet*","Barshat Rai","W4XTCQ07J;U02RMEY3D1C","* • Forms Team showcased accessibility issues for few of their forms which had high traffic.  • Shared the issues with Michelle which she will hand over to relevant team. • Michelle mentioned that the","0","false"
"1758514658.124379","1758514658.124379","* 2025-09-18","Verizon*","Sufyan Haroon","W9QMZFR39;W5HEU5M7Y;W010NNJV7S8","* • They have a massive daily batch based invoice generation use case.  • They generate around 13M PDFs per day.  • Currently, they use OpenText Exstream which is a robust system and they also use RIC","1","false"
"1758514248.694039","1758514248.694039","* 2025-09-17","Royal Caribbean*","Sufyan Haroon","W9QMZFR39;W5HEU5M7Y;W010NNJV7S8","* *Use Case Summary* Royal wants an authoring experience where ship staff can use a module-based builder to drag and drop daily activities, ads, and other components—sourced live from a connected data","1","false"
"1758263694.472769","1758263694.472769","* 2025-09-18","Brunswick*","Mayank Agarwal","U06NF880220;U0213T59LMN;W5HEU5M7Y","* • *Capturing ECID, FBCLID, and GCLID in Marketo Forms:* Andy Kluck, Mayank, Arun, and others discussed the technical process and challenges of capturing ECID, FBCLID, and GCLID values in Marketo for","6","false"
"1758260710.918079","1758260710.918079","* 2025-09-18","LPL*","Gaurav Ahuja","U0213T59LMN;W4RU708G5;W4RU5J3JR","* • *Custom Indexing*: Customer confirmed previous indexing issue resolved by creating a custom Lucene index. Unique index names don’t override OOTB, but similar names do. File deletion tests validate","4","false"
"1758173463.940209","1758173463.940209","* 2025-09-16","Brunswick*","Mayank Agarwal","U06NF880220;WQ6GEBZHN;U0213T59LMN","* • *Marketo Integration and Hidden Field Mapping:* Andy and Mayank discussed the process of mapping hidden fields from AEM forms to Marketo, including the use of assignment rules based on operating u","6","false"
"1758169848.391489","1758169848.391489","* 2025-09-17","<http://UPS.com|UPS.com>*","Vijay Kumar Jalagari","W4RU4N66R;U0213T59LMN;W4R4S9FS4;U03N27GAZDZ","* • *Introduction:* Michael, Simon Habtu, Emily, John, and Dallas discussed the integration of AEM forms on <http://ups.com|ups.com>. The meeting aimed to explore the best ways to leverage AEM forms, ","3","false"
"1758134396.335239","1758134396.335239","* 2025-09-17","Celestyal*","Rahul Kumar Singh","WLWHN4TV3","* • *Newsletter Subscription Form Optimization Opportunity:* Rahul Kumar presented a new Site Optimizer opportunity related to the newsletter subscription form, explaining the low conversion rates and","0","true"
"1758084265.873279","1758084265.873279","* 2025-09-16","Wilson*","Rahul Kumar Singh","W4XTCQ07J;WLWHN4TV3","* *Lead Gen Form Variant*: Suggested adding another variant with a hyperlink in the header bar. Team mentioned it’s not critical right now, but added to the backlog. *Conversion Rate*: First-order for","0","true"
"1757947265.975139","1757947265.975139","* 2025-09-15","Wells Fargo*","Rupali Mittal","U031G7ZLRRC;U0811FXQ61H;W9WQCDCLU","* • Accessibility Issue related to value not being tagged in accessibility tag tree for bottom caption was discussed.  It was fixed in SP23 . They tested it on SP22 document generation service. We hav","0","false"
"1757655365.946789","1757655365.946789","* 2025-09-11","Brunswick*","Mayank Agarwal","U06NF880220;U0213T59LMN","* • *Pipeline Verification and Dependency Troubleshooting:* Mayank, Christy Bastian, Andy Kluck, and Shraddha collaborated to verify the deployment pipeline, check component versions, and troubleshoot","4","false"
"1757655068.314749","1757655068.314749","* 2025-09-11","LPL*","Gaurav Ahuja","W4RU5J3JR;W4RU708G5;U0213T59LMN","* • *Custom Indexing*: Engineering discovered that a custom Lucene index was overriding the default, leading to inefficient queries. Renaming and copying standard rules improved performance. These cha","7","false"
"1757581283.710269","1757581283.710269","* 2025-09-08","PFA PENSION*","Rishi Mehta","W4R5M9P4H","* Go-live was scheduled for 10th September. On 5th September, a fragment localization issue was reported, which blocked the release. The issue was resolved, and a private release was patched to their ","0","true"
"1757565593.840499","1757565593.840499","* 2025-09-11","PWC (PricewaterhouseCoopers) - Internal meeting*","Sudhanshu Singh","W4R5M9P4H;W4XTCQ07J","* Had a connect with Terry Mah for a new Forms opportunity • PWC (Chicago) wants to leverage Forms for their Audit process - worldwide with ~ 100K users • Render the form in headless mode in their .Ne","0","false"
"1757482762.169779","1757482762.169779","* 2025-09-09","Brunswick*","Mayank Agarwal","U0213T59LMN;W5HEU5M7Y;U06NF880220","* • *Access Issues in Mercury Marine Environments:* Mayank, Andy, and others discussed ongoing access limitations in the Mercury Marine QA and stage environments, with Christy and Sarah assisting in t","3","false"
"1757477619.996589","1757477619.996589","* 2025-09-09","WestJet (Forms Opp. in ASO)*","Sudhanshu Singh","W6CBB4953;W4XTCQ07J","* • Heather mentioned that she would check with the concerned team on the $ value impact - based on what Varun had proposed. • Varun shared that we have similar opp. in other locale - where CTA placem","0","false"
"1757475672.747859","1757475672.747859","* 2025-09-09","Brightline*","Sudhanshu Singh","U0213T59LMN;W4XTCQ07J;W5HEU5M7Y","* Session was to cover: • Access to Cloud instance (pending access from last meeting). We would be working on the Dev instance. • They want to create CC based forms - discussed if they want to have st","0","false"
