Type,ID,Timestamp,Date,Customer Name,PM Name,User,UserID,Text Preview,Has Thread,Reply Count,Is Bot
"Engagement","1767941642.953959","1767941642.953959","* 2026-01-09","Fidelity Stock Plan Services*","Mahendra Bijarniya","","","* • *Requirement* - Fidelity Stock Plan Services has a requirement to migrate to the latest versions of Windows Server, Microsoft Office, and Adobe Acrobat. With the newly supported Microsoft Office 2021 and Acrobat DC (FRL), multi-threaded conversions are not supported by default and the customer h","true","2","false"
"Thread Reply","1768219119.515759","1768219119.515759","2026-01-12","Fidelity Stock Plan Services*","Mahendra Bijarniya","W4XTCQ07J","W4XTCQ07J","<@WAKE92QE4> Is there a confirmation from the customer yet? cc: <@W4RT1UR2Q>","false","0","false"
"Thread Reply","1768220454.979649","1768220454.979649","2026-01-12","Fidelity Stock Plan Services*","Mahendra Bijarniya","WAKE92QE4","WAKE92QE4","<@W4XTCQ07J> As of now, the CSE team has validated it in their environment. I think it has not yet been shared with the customer, going to ask the CSE team about it. cc :  <@W9QMZFR39> <@W4RT1UR2Q>","false","0","false"
"Engagement","1767793373.896409","1767793373.896409","* 2026-01-07","MoD (Ministry of Defence) UK - Client Demo*","Darshan Mahor","","","* _AI-generated content may be incorrect_ *Meeting notes* • *PDF to XDP Conversion Issues and Troubleshooting:* Tano described challenges encountered when converting legacy PDFs to XDP files using experimental APIs, with Darshan and Gaurav providing analysis and troubleshooting support, and Prateek ","true","1","false"
"Thread Reply","1767793577.210789","1767793577.210789","2026-01-07","MoD (Ministry of Defence) UK - Client Demo*","Darshan Mahor","W4R4VBWQG","W4R4VBWQG","<@U03Q109GQMT> Please fix the create IC from PDF flow from AI Assistant. If changes are required then we need to apply that on Tano's env also. We need to pick this on priority as He need to Demo these capabilities to Customer in next week. cc: <@W9QMZFR39> <@W4R5LUPK3>","false","0","false"
"Engagement","1767779861.747509","1767779861.747509","* 2026-01-06","LPL*","Gaurav Ahuja","","","* • 3-4 GenAI converted forms are in QA phase and should be live in some time. 2 others are in progress. • LPL is looking to build more forms this year and will onboard more members from their operations team • LPL might need onboarding session for Experience builder from Engineering to onboard the ","true","6","false"
"Thread Reply","1767782502.818729","1767782502.818729","2026-01-07","LPL*","Gaurav Ahuja","W4RU4N66R","W4RU4N66R","• Can we get golive dates for 2 to 4 forms converted? • How many form they are targeting this years? • For session does it make sense to provide our documentation and improve based on there feedback or planning dedicated sessions?","false","0","false"
"Thread Reply","1767791755.673709","1767791755.673709","2026-01-07","LPL*","Gaurav Ahuja","W4RU5J3JR","W4RU5J3JR","&gt; • Can we get golive dates for 2 to 4 forms converted? &gt; • How many form they are targeting this years? Will confirm these on the teams channel with them.  &gt; • For session does it make sense to provide our documentation and improve based on there feedback or planning dedicated sessions? Yes, it should be possible to provide our documentation since a number of their team members have already onboarded and are using it. We can help them troubleshoot if they face any issues. We would sugg","false","0","false"
"Thread Reply","1768219172.758259","1768219172.758259","2026-01-12","LPL*","Gaurav Ahuja","W4XTCQ07J","W4XTCQ07J","<@W4RU5J3JR> Any update on the go-live from the customer. cc: <@W4RT1UR2Q>","false","0","false"
"Thread Reply","1768236241.119509","1768236241.119509","2026-01-12","LPL*","Gaurav Ahuja","W4RU5J3JR","W4RU5J3JR","Hi <@W4XTCQ07J> Had asked them but no confirmation as of now. Have a meeting with them tomorrow so would ask them tomorrow.","false","0","false"
"Thread Reply","1768368173.931579","1768368173.931579","2026-01-14","LPL*","Gaurav Ahuja","W4XTCQ07J","W4XTCQ07J","<@W4RU5J3JR> Any update/confirmation from the meeting","false","0","false"
"Thread Reply","1768368768.287659","1768368768.287659","2026-01-14","LPL*","Gaurav Ahuja","W4RU5J3JR","W4RU5J3JR","Asked them yesterday about the go-live dates for forms in QA but they mentioned they would sync internally and let us know. cc: <@W4RU4N66R>","false","0","false"
"Engagement","1767774077.405919","1767774077.405919","* 2026-01-06","UK Client MoD (Ministry of Defence)*","Darshan Mahor","","","* • *Migration of Ministry of Defence Forms to AM Forms Cloud Service:* Tano Polizzi and Darshan Mahor discussed the opportunity to migrate the UK Ministry of Defence's legacy on-premises forms system to the AM Forms cloud service, focusing on replicating existing forms, ensuring accessibility, and ","false","0","false"
"Engagement","1767606144.777479","1767606144.777479","* 2025-12-18","Verizon*","Sufyan Haroon","","","* • *Overview of Adobe AEM Forms Value Proposition:* Melissa, Mark, and Jared from Adobe provided Sunil, Williams-VZ, Ani, Kiran, and the Verizon team with a comprehensive overview of the value proposition, features, and differentiators of Adobe AEM Forms, focusing on interactive communications, int","false","0","false"
"Engagement","1766506195.165989","1766506195.165989","* 2025-12-23","Medtronic Inc*","Sakshi Arora","","","* This was for an escalated issue, where the customer's SQL server connection is getting dropped and sometimes returning too many requests. On analysis it was found that their custom servlet was establishing the connection which was dropping. We have provided them with some pointers around jdbc conn","true","2","false"
"Thread Reply","1766506473.832319","1766506473.832319","2025-12-23","Medtronic Inc*","Sakshi Arora","W4SG81T9C","W4SG81T9C","Hi <@U06NF880220>, <@U0213T59LMN>, <@W4RU4N66R> This is a second customer in duration of a month, who has been facing SQL server connection issues. It would be great if we can add some recommendations, troubleshooting steps around this. cc: <@W4XTCQ07J> <@WAM5KDYBZ>","false","0","false"
"Thread Reply","1766758410.315109","1766758410.315109","2025-12-26","Medtronic Inc*","Sakshi Arora","U06NF880220","U06NF880220","Hi <@W4SG81T9C> Yes, we have created a ticket &amp; the configurations &amp; steps are already documented for Azure SQL server connection with AEM. A video will be added to the doc; this is a WIP &amp; will be live in Jan. cc: <@U0213T59LMN>","false","0","false"
"Engagement","1766490510.217959","1766490510.217959","* 2025-12-22","HDFC Bank*","Vijay Kumar Jalagari","","","* _AI-generated content. Make sure to check for accuracy._ *Meeting Notes* • *Sprint Dashboard &amp; KPI Alignment*: Vijay presented a new dashboard for sprint tracking, focusing on outcome goals, baselines, and targeted KPIs for Project Zenith. The team agreed to review and align on practical targe","false","0","false"
"Engagement","1765977115.742489","1765977115.742489","* 2025-12-16","Komatsu*","Sakshi Arora","","","* Delivered a private release, which the customer said selectively worked. On the call, we pointed out incorrect configuration. Customer rectified it, and validated things to be working as desired.  Post that updated the private release on their 7 cloud environments and 3 RDE :todo_done: *","false","0","false"
"Engagement","1765972821.635309","1765972821.635309","* 2025-12-16","LPL*","Gaurav Ahuja","","","* • *Slow Deletion Performance:* Customer reported slow/unresponsive deletion of text fields; Engineering identified a slow `references` network call as the likely cause. • *Diagnosis &amp; Workarounds:* Engineering suggested broader field testing, requested access to reproduce, and recommended usin","true","2","false"
"Thread Reply","1766152569.712699","1766152569.712699","2025-12-19","LPL*","Gaurav Ahuja","W4RSW3ECC","W4RSW3ECC","Was deletion tied to references call completed ? cc: <@W4RU4N66R> XSD to JSON -&gt; Do they need XML for post processing or is it only sign/DoR generation ? IIRC, we do not have API to take in JSON data for output, so that will require them to move to DoR API as well ? cc: <@W4XTCQ07J>","false","0","false"
"Thread Reply","1766395000.468099","1766395000.468099","2025-12-22","LPL*","Gaurav Ahuja","W4R5M9P4H","W4R5M9P4H","&gt; Do they need XML for post processing or is it only sign/DoR generation ? XML is only required for DoR generation (they are handling this via their own API, thats why they probably need it) &gt; IIRC, we do not have API to take in JSON data for output, so that will require them to move to DoR API as well ? Yes. The DoR API automatically convert JSON to XML before calling Output Service.","false","0","false"
"Engagement","1765931489.292819","1765931489.292819","* 2025-12-16","Brunswick*","Shraddha Singh","","","* *Form Go-Live Status and Next Steps:* Heidi Reinke confirmed to Shraddha that the form is live on production in a test state, outlined the steps to move it to the final page, and agreed to share both test and final URLs with the Adobe team.  *Outstanding Questions and","false","0","false"
"Engagement","1765378376.520859","1765378376.520859","* 2025-12-10","smartdoctech - James Terry*","Darshan Mahor","","","* • James is new to this cloud deployment pipeline approach, so I walked him through the AEM archetype and the process for deploying code to AEM. • I gave him a demo of the IC on Cloud feature, including the AI capabilities available through AI Assistant and Forms Experience Builder within the IC ed","true","6","false"
"Thread Reply","1765378387.025079","1765378387.025079","2025-12-10","smartdoctech - James Terry*","Darshan Mahor","W4R4VBWQG","W4R4VBWQG","<@W9QMZFR39> can you please help in enabling the IC's FT on customer env? so that James can use the IC on Cloud.","false","0","false"
"Thread Reply","1765520928.634359","1765520928.634359","2025-12-12","smartdoctech - James Terry*","Darshan Mahor","W4R4VBWQG","W4R4VBWQG","<@U0213T59LMN> <@W4R4S9FS4> Can you please help in enabling the Forms Experience Builder on the Customer env? Email: <mailto:jp@smartdoctech.com|jp@smartdoctech.com> and cm-p119822-e1855156.  <@WE163TH43> <@W4R5LUPK3> Please let me know if, in addition to enabling IC’s FT and Forms Experience Builder, there are any other steps required to activate the IC AI capabilities. cc: <@W4RT1UR2Q>","false","0","false"
"Thread Reply","1765531608.163849","1765531608.163849","2025-12-12","smartdoctech - James Terry*","Darshan Mahor","U0213T59LMN","U0213T59LMN","<@W4R4VBWQG>: Has customer signed the consent form ?","false","0","false"
"Thread Reply","1765531662.734979","1765531662.734979","2025-12-12","smartdoctech - James Terry*","Darshan Mahor","W4R4VBWQG","W4R4VBWQG","<@U0213T59LMN> No we need to start the process so that He can use Product's AI capabilities .","false","0","false"
"Thread Reply","1765532702.263839","1765532702.263839","2025-12-12","smartdoctech - James Terry*","Darshan Mahor","U0213T59LMN","U0213T59LMN","Adding <@W4RT1UR2Q> to forward the consent form","false","0","false"
"Thread Reply","1765548337.081649","1765548337.081649","2025-12-12","smartdoctech - James Terry*","Darshan Mahor","WE163TH43","WE163TH43","Hi <@W4R4VBWQG>, After enabling IC and Experience builder FT. AI should start working.","false","0","false"
"Engagement","1765371354.813939","1765371354.813939","* 2025-12-10","South Africa Reserve Bank*","Sakshi Arora","","","* *Context*: Customer came with requirement of *34K fields in a form* (AF1)  Meeting notes: • *Migration from Foundation to Core Component Based Forms:* Sakshi and Amit explained the process and results of migrating the large JSON-based foundation component form to a core component based form, highl","true","2","false"
"Thread Reply","1765372638.403199","1765372638.403199","2025-12-10","South Africa Reserve Bank*","Sakshi Arora","W4RU4N66R","W4RU4N66R","<@W4SG81T9C>, <@U02HBGTSREF> if customers have Edge delivery licence then we should suggest it","false","0","false"
"Thread Reply","1765381058.800829","1765381058.800829","2025-12-10","South Africa Reserve Bank*","Sakshi Arora","W4SG81T9C","W4SG81T9C","they are on 6.5","false","0","false"
"Engagement","1765292186.526739","1765292186.526739","* 2025-12-09","Brunswick*","Mayank Agarwal","","","* • *Mercury Marine Forms Deployment Status:* Andy updated Mayank, Heidi, Mark, and the team on the progress of Mercury Marine forms deployment, noting that production testing is underway, styling changes are pending, and there are no major blockers except for translation setup and minor styling iss","false","0","false"
"Engagement","1764149604.281159","1764149604.281159","* 2025-11-25","Carpenter*","Sakshi Arora","","","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Azure SQL Server Connectivity and Regional Restrictions:* Sakshi, Randy Reisling, and Shraddha discussed ongoing issues with connecting to the Azure SQL server, identifying that regional restrictions and content filtering on Randy","false","0","false"
"Engagement","1764149465.423279","1764149465.423279","* 2025-11-25","Verizon*","Vijay Srivastva","","","* *Meeting Summary – Verizon Discussion on Document Generation and AEM Capabilities*  *Current Vendor Landscape and Business Need* • *Verizon* is currently operating as an on-premise site customer. • They use *Open Text Extreme* for print output and multiple other solutions for digital communication","true","3","false"
"Thread Reply","1764150818.490909","1764150818.490909","2025-11-26","Verizon*","Vijay Srivastva","WE163TH43","WE163TH43","Verizon's current solution","false","0","false"
"Thread Reply","1764150863.570269","1764150863.570269","2025-11-26","Verizon*","Vijay Srivastva","WE163TH43","WE163TH43","Adobe's proposed solution","false","0","false"
"Thread Reply","1764150872.336759","1764150872.336759","2025-11-26","Verizon*","Vijay Srivastva","WE163TH43","WE163TH43","cc:<@W4R5LUPK3>","false","0","false"
"Engagement","1764136037.917299","1764136037.917299","* 2025-11-25","Brunswick*","Mayank Agarwal","","","* • *Project Status and Migration Challenges:* Andy provided an update on the project's current state, highlighting issues encountered during the migration from QA to stage, particularly with form naming conventions and connector configurations, while Mayank, Shraddha, and Christy were identified as","false","0","false"
"Engagement","1764135866.061899","1764135866.061899","* 2025-11-25","LPL*","Gaurav Ahuja","","","* • *AFV2 Guidebridge Enhancement:* Engineering deployed a private build enhancing guidebridge that enables the use-case of multiple forms on a single page; Customer to validate functionality. • *Validation Request:* Engineering requested confirmation from Customer that the AFV2 fix resolves the rep","true","4","false"
"Thread Reply","1764139589.674569","1764139589.674569","2025-11-26","LPL*","Gaurav Ahuja","W4R5LUPK3","W4R5LUPK3","Do we know if LPL has any live Forms, dont see any submissions, are they using custom submit?","false","0","false"
"Thread Reply","1764140884.346519","1764140884.346519","2025-11-26","LPL*","Gaurav Ahuja","W4RU708G5","W4RU708G5","&gt; are they using custom submit They use a custom flow. It basically boils down to this: • User fills a form • LPL runs exportData • They hit a custom servlet to generate DoR • They send the DoR for signing","false","0","false"
"Thread Reply","1764140989.265709","1764140989.265709","2025-11-26","LPL*","Gaurav Ahuja","W4R5LUPK3","W4R5LUPK3","Thanks, so for LPL as they are using custom flow, if we can track the Generate DoR call that should equal the Transaction count","false","0","false"
"Thread Reply","1764141087.408949","1764141087.408949","2025-11-26","LPL*","Gaurav Ahuja","W4RU708G5","W4RU708G5","Yes. That is my understanding so far. I believe they invoke a servlet mounted at `bin/generatePDF` path.","false","0","false"
"Engagement","1764090684.923759","1764090684.923759","* 2025-11-25","Fidelity Stock Plan Services*","Mahendra Bijarniya","","","* Fidelity Stock Plan Services run a single AEM Publish instance with the AEM Forms add-on on Windows Server that also hosts Microsoft Office and Acrobat required to support of PDF generation. *Requirements* • Migration to the latest versions of Windows Server, Microsoft Office, and Acrobat • Suppor","true","1","false"
"Thread Reply","1764090701.044209","1764090701.044209","2025-11-25","Fidelity Stock Plan Services*","Mahendra Bijarniya","WAKE92QE4","WAKE92QE4","cc : <@W4RSW3ECC>","false","0","false"
"Engagement","1764046139.663049","1764046139.663049","* 2025-11-24","James Terry - smartdoctech*","Darshan Mahor","","","* • James provided overview that he has implemented AEM Forms Core Components on his site and published a 5‑minute overview video of AEM Forms capabilities. <https://www.youtube.com/watch?v=gRuqGc-5cmo> • Now, He is interested in Document Services- Output and DocAssurance Service and Interactive Com","true","2","false"
"Thread Reply","1764046159.150259","1764046159.150259","2025-11-25","James Terry - smartdoctech*","Darshan Mahor","W4R4VBWQG","W4R4VBWQG","cc: <@W4RSW3ECC>","false","0","false"
"Thread Reply","1764051598.335979","1764051598.335979","2025-11-25","James Terry - smartdoctech*","Darshan Mahor","W4RSW3ECC","W4RSW3ECC","Thanks","false","0","false"
"Engagement","1763529691.340699","1763529691.340699","* 2025-11-18","LPL*","Gaurav Ahuja","","","* • *Multiple Form Loading:* Customer facing issues loading multiple forms in the same division due to missing unload function in AF2, causing event listener conflicts. • *Event Handling:* Engineering discussed reusing listener logic and temporary workarounds like clearing the division before reload","false","0","false"
"Engagement","1763529026.443209","1763529026.443209","* 2025-11-19","Carpenter*","Sakshi Arora","","","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Azure SQL Database Connectivity Troubleshooting:* Randy, Sakshi, Chad, Tim, and Speaker 1 collaborated to diagnose intermittent connectivity issues with the Azure SQL database, discussing network settings, activity logs, and pipel","false","0","false"
"Engagement","1763008572.322029","1763008572.322029","* 2025-11-10","UPS*","Shraddha Singh","","","* • Meeting was scheduled by Michael for discussing all the open queries of UPS. In that one story they were interested was Certificate based authentication of Onedrive. • Current implemented changes were presented to the customer as a demo &amp; recording with all standard MSFT doc is also shared. ","false","0","false"
"Engagement","1762939436.325349","1762939436.325349","* 2025-11-10","Brunswick*","Shraddha Singh","","","* *Meeting notes*  *AEM Forms Local Development Environment Setup:* Christy, Mayank, Andy, and Shraddha discussed and collaboratively worked through the step-by-step process for setting up AEM Forms on a local SDK instance, focusing on creating comprehensive internal documentation to guide future de","false","0","false"
"Engagement","1762925843.256829","1762925843.256829","* 2025-11-11","LPL Financials*","Mayank Agarwal","","","* • *Form Validation and Prefix Path Issue:* Andy Doerr, Arneh, and Gaurav discussed ongoing issues with form validation failures and incorrect prefix paths in the application, with Gaurav guiding Andy to update the prefix path in the code and Arneh suggesting testing the fix before deployment. • *B","false","0","false"
"Engagement","1762925718.072349","1762925718.072349","* 2025-11-11","Brunswick*","Mayank Agarwal","","","* • *Feature Toggle and Bundle Configuration for Local Development:* Christy, Mayank, and Shraddha discussed the process for enabling feature toggles in local development, confirming that uploading the bundle to the system console and enabling it via Config Manager is the required approach, with doc","false","0","false"
"Engagement","1762862276.317519","1762862276.317519","* 2025-11-10","Abbott*","Mahendra Bijarniya","","","* Abbott is encountering multiple conversion issues, as detailed in <https://wiki.corp.adobe.com/display/lc/PDF+Generator+Support+for+Office+2021+and+Acrobat+DC|this wiki page> , during their environment upgrade from *Windows Server 2016 + Office 2016 + Acrobat Classic* to *Windows Server 2022 + Off","true","1","false"
"Thread Reply","1762862359.354909","1762862359.354909","2025-11-11","Abbott*","Mahendra Bijarniya","WAKE92QE4","WAKE92QE4","cc : <@W9QMZFR39> <@W5HEU5M7Y> <@W4RSW3ECC>","false","0","false"
"Engagement","1762793715.280409","1762793715.280409","* 2025-11-10","Ford*","Mahendra Bijarniya","","","* Ford is planning to migrate their Interactive Communications (IC) from AEM Forms 6.5 to AEM Forms on CS. • Current Deployment and Environment Details:     ◦ Approximately 700 existing ICs.     ◦ Batch generation use case is in place.     ◦ Output Service is being utilized.     ◦ No Agent UI use ca","true","1","false"
"Thread Reply","1767684463.041219","1767684463.041219","2026-01-06","Ford*","Mahendra Bijarniya","WAKE92QE4","WAKE92QE4","cc : <@W4R4VBWQG>","false","0","false"
"Engagement","1762512398.594299","1762512398.594299","* 2025-11-06","LPL Financial*","Chris J","","","* *Dynamic Client Letter Generation Use Case:* Naveen Sharma described the need to generate dynamic client letters reflecting account changes, and discussed with Chris how Adobe tools could support a proof of concept (POC) for this workflow, including data binding and document generation.  *Adobe In","true","4","false"
"Thread Reply","1762828650.644369","1762828650.644369","2025-11-11","LPL Financial*","Chris J","W9QMZFR39","W9QMZFR39","<@W010NNJV7S8> , please keep us in loop for this engagement on IC with LPL.","false","0","false"
"Thread Reply","1762847630.672919","1762847630.672919","2025-11-11","LPL Financial*","Chris J","W010NNJV7S8","W010NNJV7S8","sure <@W9QMZFR39> currently it was more of usecase discovery and PoC. The intent was to discover usecase fitment for EAA (DA), however I discovered that they wanted IC and demoed the feature on the fly. Post this they will showcase a PoC demo and decide to opt in for EA. Currently they are facing some error in their IC Env, which i have posted in the relevant slack group. please see if you can help there","false","0","false"
"Thread Reply","1762849733.728569","1762849733.728569","2025-11-11","LPL Financial*","Chris J","W9QMZFR39","W9QMZFR39","<@W010NNJV7S8>, link please to the query.","false","0","false"
"Thread Reply","1762849813.121809","1762849813.121809","2025-11-11","LPL Financial*","Chris J","W010NNJV7S8","W010NNJV7S8","<@W9QMZFR39> <https://cq-dev.slack.com/archives/C05DGGZ77AM/p1762846919273429>","false","0","false"
"Engagement","1762496766.537899","1762496766.537899","* 2025-11-06","Brunswick*","Mayank Agarwal","","","* • *Transition from Marketo to AEM Forms: Analytics Tracking:* Andy, Mayank, Heidi, Mark, and Jonathan discussed the transition from Marketo to AEM forms, focusing on ensuring analytics tracking (including Adobe Analytics and Google Analytics) is maintained and properly configured during and after ","false","0","false"
"Engagement","1762407925.414709","1762407925.414709","* 2025-11-04","Mayo Clinic*","Sakshi Arora","","","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Current Forms Environment and Integration Challenges:* Tony J Fenner, Stephen, Brad R Tuckner, and John described the current forms landscape at Mayo Clinic, highlighting the use of multiple platforms (AEM forms, fillable PDFs, HT","false","0","false"
"Engagement","1762311254.939099","1762311254.939099","* 2025-11-04","Brusnwick*","Shraddha Singh","","","* *ECID Deployment and Rule Editor Updates:* Shraddha, Christy, and Andy discussed the deployment status of the ECID code, with Christy confirming the ECID deployment is pending and planning to notify the team upon completion, after which Shraddha will update the rule editor and share changes via e-","false","0","false"
"Engagement","1762237903.056619","1762237903.056619","* 2025-11-03","Carpenter*","Sakshi Arora","","","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Azure SQL Database Integration and Networking Configuration:* Shraddha, Sakshi, Randy, and Chad Roberts discussed the technical requirements and steps for connecting AEM to Azure SQL Database, focusing on advanced networking confi","true","8","false"
"Thread Reply","1762242605.553979","1762242605.553979","2025-11-04","Carpenter*","Sakshi Arora","W4SG81T9C","W4SG81T9C","Engineers involved from customer end are not well versed with fundamentals like switching between two java version for development, git repositories, maven deployments. The feel we get from the meetings we had till now, is like shifting the blame, that since your documentation is bad, hence we are not able to do anything. This is even said for things which we have demonstrated in working sessions (whose recordings are also shared), they still override the changes which we make to original non wo","false","0","false"
"Thread Reply","1762249750.445309","1762249750.445309","2025-11-04","Carpenter*","Sakshi Arora","W4RSW3ECC","W4RSW3ECC","<@W4R5LUPK3>: is LAS involved here and can help ?","false","0","false"
"Thread Reply","1762259123.403609","1762259123.403609","2025-11-04","Carpenter*","Sakshi Arora","W4R5LUPK3","W4R5LUPK3","I can check with LAS team, but AFAIK Customer needs to purchase credits for LAS","false","0","false"
"Thread Reply","1762270664.959579","1762270664.959579","2025-11-04","Carpenter*","Sakshi Arora","W4RSW3ECC","W4RSW3ECC","yes - can you check if they already have LAS ?","false","0","false"
"Thread Reply","1762277030.139959","1762277030.139959","2025-11-04","Carpenter*","Sakshi Arora","W4R5LUPK3","W4R5LUPK3","<https://cq-dev.slack.com/archives/C068C759F6H/p1762259182682549>","false","0","false"
"Thread Reply","1762353506.101889","1762353506.101889","2025-11-05","Carpenter*","Sakshi Arora","W4XTCQ07J","W4XTCQ07J","Checking on the carpenter escalation channel as well - if LAS is involved (seems Manu is not aware and still checking).","false","0","false"
"Thread Reply","1762353847.014159","1762353847.014159","2025-11-05","Carpenter*","Sakshi Arora","W4XTCQ07J","W4XTCQ07J","For the recent query from George (Carpenter): > _I'm keen to look at how we can design / structure our site for our users so that we can actively move forward with building the site with your assistance where required._ In Panorama - it shows they only have Forms license - checking with SAM (Solution Account Manager) - to confirm if they have a license..","false","0","false"
"Thread Reply","1762358777.070559","1762358777.070559","2025-11-05","Carpenter*","Sakshi Arora","W4XTCQ07J","W4XTCQ07J","Here is the response from Rajan (Sr. technical advisor): &gt; _Hi <@W4XTCQ07J> I don't think so the are engaged with LAS team. if they have questions around email configuration and deployment please let us know we (CTA Advisory team) can try to help them, I know they need hand holding step for each things since they lack of development experience. Please add us also on team channel._ &gt;  &gt; _Yes they are only AEM Forms license. if they need to go ahead with AEM site development they need to ","false","0","false"
"Engagement","1762139888.047429","1762139888.047429","* 2025-10-30","Brunswick*","Shraddha Singh","","","* *ECID Function Deployment and Rule Modification:* Shraddha updated Andy and Joseph on the deployment of the new ECID async function, which will require a subsequent rule modification once Christy deploys the code, and clarified that only the ECID field will change while FBCID and GCID will continu","false","0","false"
"Engagement","1762139700.650049","1762139700.650049","* 2025-10-28","Brunswick*","Shraddha Singh","","","* *Cloudflare Form Submission Routing and Security:* Andy Kluck, Christy, and Sarah Warzecha discussed the recent Cloudflare configuration that now globally routes form submissions correctly and blocks potential SQL injection attempts, with Christy and Natalie Perscal as the main contacts for any is","false","0","false"
"Engagement","1761800607.873069","1761800607.873069","* 2025-10-15","NFL*","Ravisanker E","","","* This session was targeted at the marketing team at NFL.  • Introduced the AEM forms product offering and its various capabilities.  • Followed by a demo of authoring an already live NFL form in the universal editor, showcasing various capabilities like configuring AEP schema and submit action, aut","false","0","false"
"Engagement","1761722933.589879","1761722933.589879","* 2025-10-28","LPL*","Gaurav Ahuja","","","* • *URL Rewriting Issue:* Customer reported embedded form failures caused by model.json paths not being rewritten properly through Cloudflare and AEM filters. • *Cloudflare Routing Rules:* Andy described how Cloudflare is configured to route requests with specific prefixes (such as /aem-form) to th","false","0","false"
"Engagement","1761627924.197009","1761627924.197009","* 2025-10-27","Carpenter*","Sakshi Arora","","","* Generated by AI. Make sure to check for accuracy. Meeting notes: • *Repository Structure and Code Walkthrough:* Sakshi provided an overview of the restructured repository for cloud deployment, explaining the separation between immutable and mutable content, and highlighted how OSGI configurations,","true","1","false"
"Thread Reply","1761628083.965449","1761628083.965449","2025-10-28","Carpenter*","Sakshi Arora","W4SG81T9C","W4SG81T9C","<@WLK0YHV9Q> also helped with the outlook email configuration.","false","0","false"
